wp,type,syst,flav,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
M,mujets,up,5,0,2.5,70,100,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.02903333901367123"
M,mujets,up,5,0,2.5,100,140,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.03842553708292001"
M,mujets,up,5,0,2.5,140,200,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.06967644702109696"
M,mujets,up,5,0,2.5,200,300,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.05618664485247252"
M,mujets,up,5,0,2.5,300,600,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.05606918829992799"
M,mujets,up,5,0,2.5,600,1000,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.10453895799964513"
M,mujets,up,4,0,2.5,20,30,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.09534754787916457"
M,mujets,up,4,0,2.5,30,50,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.08672501480371889"
M,mujets,up,4,0,2.5,50,70,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.0749425121943443"
M,mujets,up,4,0,2.5,70,100,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.0871000170410137"
M,mujets,up,4,0,2.5,100,140,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.11527661124876001"
M,mujets,up,4,0,2.5,140,200,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.20902934106329088"
M,mujets,up,4,0,2.5,200,300,0,1,"1.2362+-0.0116345*log(x+19)*log(x+18)*(3-0.415493*log(x+18))+0.16855993455741755"
